Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,"Literacy rate, adult total (% of people ages 15 and above)",,69.87349701,,,,72.64868164,,75.13604736,,,,,,,,,,81.40783691,,
EAP,East Asia & Pacific (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",91.00655365,91.38469696,91.75576782,92.09281921,92.46089935,92.88398743,93.96147156,94.19860077,94.51882935,94.60774231,94.45590973,94.67794037,94.77902222,95.19567108,95.40923309,95.53955078,95.72928619,95.87911987,96.0267868,96.17314911
EAR,Early-demographic dividend,"Literacy rate, adult total (% of people ages 15 and above)",68.67855835,69.37242889,70.40444183,71.19389343,70.98648071,71.24601746,72.05181885,73.28067017,74.14257813,75.28292084,75.28800201,75.91931915,76.42189789,77.23737335,77.95578003,78.57810211,79.01699829,79.35413361,79.84098816,80.30725861
EAS,East Asia & Pacific,"Literacy rate, adult total (% of people ages 15 and above)",90.73947906,91.12373352,91.51486969,91.86685181,92.24868774,92.67111206,93.66002655,93.9256897,94.2469101,94.26799011,94.07524109,94.31336212,94.42037201,94.91773224,95.13826752,95.275383,95.47142792,95.62532043,95.7740097,95.91979218
ECA,Europe & Central Asia (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",96.94550323,97.03177643,97.10565948,97.28276825,97.49642181,97.45501709,97.5509491,97.55497742,98.06336975,98.37867737,98.63468933,98.76821899,98.81671906,98.84980774,98.87846375,98.99887848,98.97245789,99.00773621,99.04348755,99.07746887
ECS,Europe & Central Asia,"Literacy rate, adult total (% of people ages 15 and above)",96.51696014,96.69612122,96.79019928,96.91914368,96.92446899,97.07691193,97.08747101,97.24707031,97.41752625,97.58094788,97.89367676,97.99822235,98.06864166,98.11634827,98.16487122,98.25479126,98.27191925,98.33351898,98.37896729,98.42828369
ECU,Ecuador,"Literacy rate, adult total (% of people ages 15 and above)",90.98403168,,,,,,92.0967865,92.3900528,92.24976349,91.85404205,91.5868988,92.06472778,93.29463196,94.22264099,94.45565796,94.35022736,92.82978821,,,93.62609863
EGY,"Egypt, Arab Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,67.33187103,66.36991119,,,,72.04785156,,73.86559296,72.44249725,,,,71.16825104,,,
EMU,Euro area,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,"Literacy rate, adult total (% of people ages 15 and above)",,52.51395035,,,,,,64.6629715,,,,,,,,,,76.57051849,,
ESP,Spain,"Literacy rate, adult total (% of people ages 15 and above)",,,,97.16512299,97.75068665,97.75213623,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,98.43650055,,98.59445953
EST,Estonia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,99.88578796,,,,,,,,,
ETH,Ethiopia,"Literacy rate, adult total (% of people ages 15 and above)",,,,35.90000153,29.8203392,,38.99597931,,,,,,,,,,51.7711792,,,
EUU,European Union,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
