Country Code,Country Name,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COL,Colombia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,13.97762127,13.26446433,12.92589482,12.61654946,14.24407808,14.24544462,14.29934195,14.71615329,14.76152348,14.88041408,14.06289487,16.19459096,16.08328454,16.60264982,16.9894123,16.32989404
COM,Comoros,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,11.36534443,12.46911804,13.62107548,10.86993315
CPV,Cabo Verde,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,8.513784466,9.676237587,9.963413025,10.06585691,9.970078282,9.745333458,9.744104466,9.717549553,9.376567722,9.572208995,9.717866124,10.17900974,9.739983342
CSS,Caribbean small states,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CUW,Curacao,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,6.884707142,4.907077489,6.118128527,5.295256577,5.617059193,6.41462105,10.30598379,10.11403421,10.31351607,9.036913979,8.225598417,9.01047899,8.379306711
CZE,Czech Republic,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,5.043087078,5.460451627,6.087255591,6.48640191,6.491719419,6.874574326,7.208622295,7.302795615,7.524656077,7.257311629,6.480188718,6.543840312,6.835157503,7.375010287
DEU,Germany,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,4.07,4.33,4.27,4.49,4.81,4.3,4.36,4.73,5.45,5.61,5.94,5.98,6.33,6.47,6.31,5.93
DJI,Djibouti,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,3.965175141,4.282758619,4.396754656,5.345121096,5.833479095,5.389238609,6.291752345,6.480840097,6.656633942
DMA,Dominica,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,3.999387824,3.393465204,5.133194838,4.926281,3.55511,4.203478
DNK,Denmark,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,4.864247577,5.738910944,6.240803351,5.51643725,5.492939697,5.432214237,5.053670162,5.265614235,7.049777618,7.310866342,7.790802433,7.386260854,6.896164929,6.979375706,7.374379355,6.634976407
